property_id,purpose,type,added_on,furnishing,price,location,bed_bath_size,agent_name,img_url,breadcrumbs,amenities,description
Bayut - MARINA23-MAR-MURJAN5-2BR,For Rent,Apartment,7 July 2023,Furnished,"{'currency': 'AED', 'amount': '160,000'}","Murjan 5, Murjan, Jumeirah Beach Residence (JBR), Dubai","{'bedrooms': '2 Beds', 'bathrooms': '3 Baths', 'size': '1,396 sqft'}",Maria Fernanda Corte Portela,https://images.bayut.com/thumbnails/423493784-800x600.jpeg,"['Dubai Apartments', 'Jumeirah Beach Residence (JBR)', 'Murjan', 'Murjan 5', 'Bayut - MARINA23-MAR-MURJAN5-2BR']","['Furnished', 'Balcony or Terrace', 'Parking Spaces', ': 1', 'Swimming Pool', 'Furnished', 'Electricity Backup', 'Parking Spaces', ': 1', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Reception/Waiting Room', 'Gym or Health Club', 'Swimming Pool', 'Kids Play Area', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', '24 Hours Concierge']","['Azco Real Estate is pleased to offer this amazing 2 Bedrooms Apartment in Murjan 5, Jumeirah Beach Residences. The property size spread over 1,396  sq. ft and has an outstanding finishing. ', 'Property Features:', '- Fully Furnished', '- On High Floor', '- Marina View on the Living Area', '- Atlantis and Marina View in Masters Bedroom', '- Counter Type Kitchen', '- With Kitchen Appliances', '- Laundry Area', '- Master Bedroom Ensuite with massive Bathroom', '- Build In Wardrobe', '- With Balcony', 'Murjan 5, one of seven buildings that make up Murjan, has a height of 40 stories. Along with Hommage Hotel and Apartments, Murjan 1, Murjan 2, Murjan 3, Murjan 6, and Royal Beach Residence, the structure is one of seven that make up Murjan. ', 'For further details or to arrange a viewing appointment please contact our Property Consultant - Maria Corte', 'Also, you can visit azcorealestate. ae where you will find an extensive selection of properties available both for sale and for rent. AZCO Real Estate also provides Holiday Homes, Property Management and Facility Management services too. ', 'Buyers, Sellers, and Tenants can reach us anytime. Thank you for Choosing AZCO Real Estate!']"
Bayut - JVC-ABK-BLMTWRB-STD,For Rent,Apartment,31 August 2023,Furnished,"{'currency': 'AED', 'amount': '55,000'}","Bloom Tower B, Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai","{'bedrooms': 'Studio', 'bathrooms': '1 Bath', 'size': '376 sqft'}",Ali Ehsan Barakat,https://images.bayut.com/thumbnails/448987200-800x600.jpeg,"['Dubai Apartments', 'Jumeirah Village Circle (JVC)', 'JVC District 10', 'Bloom Towers', 'Bloom Tower B', 'Bayut - JVC-ABK-BLMTWRB-STD']","['Furnished', 'Balcony or Terrace', 'Shared Kitchen', 'Parking Spaces', ': 1', 'Furnished', 'Parking Spaces', ': 1', 'Centrally Air-Conditioned', 'Central Heating', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Gym or Health Club', 'Swimming Pool', 'Kids Play Area', 'Cafeteria or Canteen', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Shared Kitchen', 'Laundry Facility', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']","['Azco Real Estate is pleased to offer this magnificent Studio apartment in Bloom Towers. The property is spread over 376 sq. ft. and has a modern outstanding finishing. ', 'PROPERTY FEATURES:', '■ Studio', '■ 1 Bathroom', '■ Fitted Kitchen', '■ Built-in Wardrobes', '■ Parking Spaces', '■ Swimming Pool', '■ Gymnasium', '■ High Speed Elevators', '■ Central A/C', '■ Concierge service', '■ Playing Area', '■ Fire and Fighting Alarm Systems', '■ PRICE DETAILS:', '■ Price: 55,000/- AED', '■ Cheques: 2', '■ Security Despite:10%', '■ For further details or to arrange a viewing appointment please contact Mr. Ali Barakat', 'visit azcorealestate. ae where you will find an extensive selection of properties available both for sale and for rent. Azco Real Estate also provides Holiday Homes, Property Management and Facility Management services too.']"
Bayut - AZIZI-R-000206,For Rent,Apartment,21 August 2023,Unfurnished,"{'currency': 'AED', 'amount': '40,000'}","Azizi Riviera 13, Azizi Riviera, Meydan One, Meydan City, Dubai","{'bedrooms': 'Studio', 'bathrooms': '1 Bath', 'size': '302 sqft'}",Taha Rashid Subzwari,https://images.bayut.com/thumbnails/438507928-800x600.jpeg,"['Dubai Apartments', 'Meydan City', 'Meydan One', 'Azizi Riviera', 'Azizi Riviera 13', 'Bayut - AZIZI-R-000206']","['Balcony or Terrace', 'Parking Spaces', ': 1', 'Swimming Pool', 'Jacuzzi', 'Electricity Backup', 'Parking Spaces', ': 1', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Completion Year', ': 2023', 'Reception/Waiting Room', 'Gym or Health Club', 'Facilities for Disabled', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Steam Room', 'Kids Play Area', 'Lawn or Garden', 'Barbeque Area', 'Cafeteria or Canteen', 'Maintenance Staff', 'Security Staff', 'CCTV Security', 'Laundry Facility', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', 'Freehold']","['Studio Apartment for Rent in Azizi 13 | Pool View | Chiller Free', 'Rental Details : ', '- 40,000 AED ( Payable in 1 or 2 Cheques )', '- 45,000 AED ( Payable in 3 or 4 Cheques )', '- Security Deposit : 5% ', 'Property Details: ', '- 302 Sqft. BUA ', '- With Balcony', '- Fully Equipped Kitchen ', '- Ready to Move In', 'For viewing and booking please call at :', 'Whatsaap : https://wa. me/message/BCD6XQ5BQRU5A1', 'ProEdge Real Estate & Management Services is building the Modern Real Estate platform, pairing the industry’s top talent with technology to make the search, selling and buying experience intelligent and seamless. We are providing an exceptional level of personal care, guidance and considered advice on a one-to-one basis; at the same time, we offer our services to those individuals and organizations for whom property has wider commercial implications, including Professional Landlords, Investors and Investment Firms. ', 'At ProEdge, we manage your Real Estate Property with care. We source the best and most qualified suppliers and contractors for all maintenance and Administrative work for your property. Our solutions include end-to-end Real Estate Management Services for Residential & Commercial Properties, Corporate offices, Labor Camps, Commercial Warehouses and several other high-end Retail spaces. We undertake everything from regular cleaning and maintenance to emergency repair and large scale work on the property.']"
Bayut - L-219005,For Rent,Villa,31 August 2023,Unfurnished,"{'currency': 'AED', 'amount': '600,000'}","Esmeralda, Victory Heights, Dubai Sports City, Dubai","{'bedrooms': '5 Beds', 'bathrooms': '6 Baths', 'size': '5,833 sqft'}",Steven Beattie,https://images.bayut.com/thumbnails/448198426-800x600.jpeg,"['Dubai Villas', 'Dubai Sports City', 'Victory Heights', 'Esmeralda', 'Bayut - L-219005']","['Balcony or Terrace', 'Swimming Pool', 'Lawn or Garden']","['B1 Villa With Private Pool and Golf Course Views', '- Five Bedroom Villa Plus Maids', '- Private Swimming Pool', '- Fantastic Full Golf Course Views', '- 5,833 Sq. Ft. BUA', '- 9,289 Sq. Ft. Plot', '- Prime Location ', '- Agent: Steven Beattie on ', '- Ref: L', 'Allsopp & Allsopp bring to the market this desirable B type five bedroom villa. ', 'The accommodation comprises to the ground floor; entrance hall, two reception rooms, fitted kitchen, downstairs bedroom with en-suite, guest powder room, and separate laundry and maids room. ', 'To the first floor are four en-suite bedrooms of which three overlook the rear garden and golf course, as well as an additional large family area. ', 'Outside the property has a large wrap-around garden with private pool and full golf course views, driveway and double garage. ', 'Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details. ', 'Please call  Steven Beattie on ', ' for more information or to arrange a viewing.']"
Bayut - DUB702725,For Rent,Apartment,14 August 2023,Unfurnished,"{'currency': 'AED', 'amount': '115,000'}","Shakespeare Circus 3, Shakespeare Circus, Uptown Motor City, Motor City, Dubai","{'bedrooms': '2 Beds', 'bathrooms': '2 Baths', 'size': '1,441 sqft'}",Karishma Patel,https://images.bayut.com/thumbnails/432339012-800x600.jpeg,"['Dubai Apartments', 'Motor City', 'Uptown Motor City', 'Shakespeare Circus', 'Shakespeare Circus 3', 'Bayut - DUB702725']",[],"['Two Bedrooms | Available Mid September', '- 2 Bedrooms', '- Top Floor Apartment', '- Corner Unit', '- 2 Balconies', '- Security', '- Storage', '- Unfurnished', '- Property Reference Number: DUB', '- Agent: Karishma Patel ', 'This immaculate and spacious 2 bed Apartment in Motor city features a large living area complete with spacious kitchen leading to a generous Balcony through patio doors. ', 'Set over 1,442 square feet the apartment briefly comprises entrance hall, open breakfast kitchen, large lounge area, balcony with views of motor city below, two double bedrooms, one with en-suite, and an additional balcony. ', 'Residents will also have access to one external storage facility and two allocated parking spaces. Viewings immediately available upon request. ', 'Please call Karishma Patel on ', ' for more information or to arrange a viewing. ', 'Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details']"
Bayut - L-218311,For Rent,Apartment,25 August 2023,Unfurnished,"{'currency': 'AED', 'amount': '210,000'}","Harbour Views 1, Harbour Views, Dubai Creek Harbour, Dubai","{'bedrooms': '3 Beds', 'bathrooms': '4 Baths', 'size': '1,546 sqft'}",Demi Delaney,https://images.bayut.com/thumbnails/442484112-800x600.jpeg,"['Dubai Apartments', 'Dubai Creek Harbour', 'Harbour Views', 'Harbour Views 1', 'Bayut - L-218311']","['Balcony or Terrace', 'Lawn or Garden']","['Harbour Views | 3 Bedroom | High Floor ', '- Available Start October', '- Open Kitchen Living Area', '- Largest Layout', '- 1,546 Sq. Ft. ', '- 3 Bathrooms', '- Own Private Balconies', '- Secure Parking', '- Complimentary Pool And Gym Access', '- Reference: L', '- Agent: Demi Delaney on ', ""Allsopp and Allsopp are very excited to offer this modern, three-bedroom apartment in the Harbour Views Tower 1. This apartment offers an open living and kitchen area that leads out onto your own private balcony looking over Downtown, Burj Khalifa. With this apartment, you get that homely feel with spacious Bedrooms throughout. Furthermore, this apartment has an added laundry room and fitted wardrobes within each bedroom plus a maid's room. . "", 'Please call Demi Delaney on ', ' for more information. ', 'Tenants interested in taking a managed property by Allsopp & Allsopp, call now to find out more. ', 'Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details']"
Bayut - DUB191835,For Rent,Apartment,25 July 2023,Unfurnished,"{'currency': 'AED', 'amount': '795,000'}","Serenia Residences West Wing, Serenia Residences The Palm, Palm Jumeirah, Dubai","{'bedrooms': '3 Beds', 'bathrooms': '4 Baths', 'size': '2,885 sqft'}",Christopher Mathieson Gibson,https://images.bayut.com/thumbnails/416570386-800x600.jpeg,"['Dubai Apartments', 'Palm Jumeirah', 'Serenia Residences The Palm', 'Serenia Residences West Wing', 'Bayut - DUB191835']",['Balcony or Terrace'],"['Allsopp and Allsopp Real Estate are proud to present this incredible 3 bedroom apartment in Serenia Residences, Palm. ', ""This corner unit, which offers an abundance of natural light with floor to ceiling windows overlooking the sea, it's an incredible apartment to call home! "", ""With state of the art facilities within the development, it's obvious why so many want to live here so badly. "", '- 3 Bedrooms', '- Sea Views', '- SMEG Kitchen Appliances', '- Beach, Pool and Gym Access', '- Huge Layout', '-Agent: Christopher Gibson on ', ', RERA BRN No. 45053', 'Property Reference: DUB', 'Tenants interested in taking a managed property by Allsopp & Allsopp, call now to find out more. ', 'For further details or to arrange a viewing appointment please contact our Head Office on ', ',', 'Please call Christopher Gibson on ', ' for more information or to arrange a viewing. ', 'Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.']"
Bayut - B-AR-91265,For Rent,Apartment,19 July 2023,Unfurnished,"{'currency': 'AED', 'amount': '85,000'}","U-Bora Tower 1, U-Bora Tower, Business Bay, Dubai","{'bedrooms': '1 Bed', 'bathrooms': '2 Baths', 'size': '1,007 sqft'}",Alla Trenina,https://images.bayut.com/thumbnails/413261565-800x600.jpeg,"['Dubai Apartments', 'Business Bay', 'U-Bora Tower', 'U-Bora Tower 1', 'Bayut - B-AR-91265']",['Balcony or Terrace'],"['The Ubora Towers is a complex of two towers located in Business Bay comprising a 56-storey office tower and a 16-storey apartment building. ', 'There is a public transport bus stop on both sides of the road named as U bora Tower which is where people working in nearby towers use to board and get down. ', 'At one corner is a glass-clad restaurant pavilion with water features and terraced gardens connecting different levels up to the public space which incorporates an event space, a shade garden and swimming pool with an infinity edge and Jacuzzi. ', 'Property details:', '-1 bedroom 1000 SqFt ', '- Panoramic Windows ', '- Walk in Closet Very Spacious ', '-Open kitchen with All Kitchen Apliances ', '- Huge Balcony with peaceful community view', '- Well Equipped Gym', '- Outdoor Pool ', '- Guest Parking ', 'Location details:', '-Bus stop under the building', '-5mins to Business Bay Metro Station', '-Dedicated restaurants & retail', '-10mins to Dubai Mall & Burj Khalifa', '¶ Property Features: ', '* Built In Wardrobes* Balcony* High floor* Landmark view* Gated Community* Air Conditioning* Open Kitchen* Fitness Centre* Shared Gym* Shared Pool', '♣', 'fam Properties ', ' Contact Us - ', ' ', ' Toll free: 800fam', ' ', ' Email: ', ' Visit our website: famproperties. com ', ' Office Registration no: 1858 ', ' RERA Broker ID: 8976 ', ' Permit No:']"
Bayut - axc-3965531,For Rent,Apartment,4 September 2023,Furnished,"{'currency': 'AED', 'amount': '80,000'}","New Dubai Gate 1, JLT Cluster Q, Jumeirah Lake Towers (JLT), Dubai","{'bedrooms': '1 Bed', 'bathrooms': '1 Bath', 'size': '621 sqft'}",Alejandro Seoane,https://images.bayut.com/thumbnails/452588752-800x600.jpeg,"['Dubai Apartments', 'Jumeirah Lake Towers (JLT)', 'JLT Cluster Q', 'New Dubai Gate 1', 'Bayut - axc-3965531']","['Balcony or Terrace', 'Parking Spaces', 'View', 'Lobby in Building', 'Parking Spaces', 'Balcony or Terrace', 'Lobby in Building', 'Kids Play Area', 'Broadband Internet', 'Satellite/Cable TV', 'View']","['AX CAPITAL Real Estate is offering to the market this amazing fresh-to-market property in Dubai Gate one ', 'Property Details:', '- BUA: 620.54 sq ft. ', '- 1 Bedroom  ', '- Fully Furnished', '- Bright Living Room', '- Panoramic Jumeirah Living view  ', '- High-Quality Finishing', '- 1 Dedicated Parking Space', '- Swimming Pool', '- Gym', '- Easy access to SHZ E11  ', '- 10 min walking to the metro ', 'Reference no. axc', ""Dubai Gate one tower overlooks Jumeirah's Living view "", 'Effortlessly accessible by road, metro strategic positioning means congestion is avoided, and driving in and out of the city is a relaxed and swift affair due to its proximity to Sheikh Zayed Road’s Interchange 5. ', 'AX CAPITAL was built upon a desire to create a real estate agency of the modern era where the customer is central to everything we do. ', 'Alternatively, visit our website where you will find an extensive selection of properties available for sale and rent. ', 'Ask us about:', '- Off-Plan', '- Property Management', '- Interior Design (AX Design) ', '- Exclusive Off-Plan ', '- Short Term Let']"
Bayut - TUN-R-3365,For Rent,Apartment,22 May 2023,,"{'currency': 'AED', 'amount': '310,000'}","Downtown Views II, Za'abeel 2, Za'abeel, Dubai","{'bedrooms': '3 Beds', 'bathrooms': '3 Baths', 'size': '1,703 sqft'}",Natasha Howe,https://images.bayut.com/thumbnails/397543233-800x600.jpeg,"['Dubai Apartments', ""Za'abeel"", ""Za'abeel 2"", 'Downtown Views II', 'Bayut - TUN-R-3365']","['Balcony or Terrace', 'Maids Room', 'Centrally Air-Conditioned', 'Lobby in Building', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Maintenance Staff', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', 'Maids Room', 'Freehold']","[' is delighted to offer this awe-inspiring 3-bedroom apartment in the gleaning tower of', 'Located in the vibrant heart of Downtown Dubai, providing the ultimate metropolitan lifestyle abounding with world-class landmarks, entertainment, and glamour. ', 'The apartment is designed to be modern and stylish, with high-end finishes and spacious balconies offering panoramic views of the city. ', 'Enjoy access to a range of amenities such as: ', 'BUA of 1703 sqf', '3 Bedroom ', '3 Bathroom', ""1 Maid\\'s room"", 'Built-in white goods', 'Large Balcony', 'Basement Parking', 'FEATURES AND AMENITIES', 'State-of-the-art fitness center', 'Outdoor gym', 'Lush park', 'BBQ', 'Kid’s play area', '24/7 security services', '24-hour Front Desk', 'Massive  Outdoor Pool', 'Kid’s Pools', 'Well equipped  gym', 'Yoga room', 'Dance room', 'Multisport Court inside and outside ', 'ACCESSIBILITY', '15 minutes walking distance to the Burj Khalifa', '10 minutes away from Dubai International Airport', '20 minutes away from the Dubai Opera', '15 minutes walking distance to the Souk Al Bahar', '15 minutes of walking away from The Dubai Fountain', '10 minutes away from The Dubai Mall', '5 minutes away from the Dubai International Financial Center', ""Downtown Dubai is EMAAR\\'s flagship mega-development,  flanked on either side by Sheikh Zayed Road and Financial Centre Road, this dynamic city hub has catalyzed the economy and cemented Dubai’s reputation as a true global icon. "", 'Our clients are far more than just a transaction and by working with', "" you\\'ll see what a more rewarding real estate experience can be. Enquire now and experience "", 'For more information, visit us at ']"
Bayut - LP36910,For Rent,Apartment,30 August 2023,Furnished,"{'currency': 'AED', 'amount': '120,000'}","Residences 1, The Residences at District One, District One, Mohammed Bin Rashid City, Dubai","{'bedrooms': '1 Bed', 'bathrooms': '2 Baths', 'size': '781 sqft'}",Michaela Holesinska,https://images.bayut.com/thumbnails/447311685-800x600.jpeg,"['Dubai Apartments', 'Mohammed Bin Rashid City', 'District One', 'The Residences at District One', 'Residences 1', 'Bayut - LP36910']",[],"['Discover District One, a prestigious enclave situated in the highly-coveted Mohammed Bin Rashid City. This extraordinary locale provides opulent living with a contemporary flair, ideal for those seeking their dream home in Dubai. ', ""This exceptional one-bedroom apartment presents a unique chance for anyone interested in owning a property in one of Dubai's most sought-after neighborhoods. Nestled within a tranquil and secure community, the apartment features modern, climate-controlled interiors that are beautifully accented with Arabesque designs. "", 'The kitchen is outfitted to the finest specifications, featuring marble countertops and top-of-the-line Miele appliances, creating an exquisite space for culinary creativity and socializing. The expansive open-concept living and dining area provides the ultimate setting for relaxation and hosting guests, while the bedroom and bathroom serve as your personal sanctuary of peace. ', ""With round-the-clock security, a wealth of amenities, and some of the city's most breathtaking views, an apartment of this quality at this price point is truly unparalleled. Contact us today for more details. ""]"
Bayut - DUB207305,For Rent,Apartment,31 August 2023,Furnished,"{'currency': 'AED', 'amount': '85,000'}","Liberty House, DIFC, Dubai","{'bedrooms': 'Studio', 'bathrooms': '1 Bath', 'size': '484 sqft'}",,https://images.bayut.com/thumbnails/449299761-800x600.jpeg,"['Dubai Apartments', 'DIFC', 'Liberty House', 'Bayut - DUB207305']",[],"['Studio | Available October 8th | DIFC Views', '- Studio', '- 1 Bathroom', '- DIFC Views', '- Vacant as of 8th of October', '- Furnished', '- Gym Access', '- Covered Parking', '- Property Reference: DUB', '- Agent: Stephen Morgan ', 'Allsopp & Allsopp are proud to present this studio apartment in DIFC. The apartment is situated on a high floor and is a total area size of 485 sq. ft. The unit is furnished and benefits from a bright, airy living space as well as a good sized bathroom. The views from this apartment overlook the city skyline. ', 'For further details please contact our Head Office on ', ', alternatively visit our website www. allsoppandallsopp. com where you will find an extensive selection of properties available both for sale and for rent. ', 'Please Call: Stephen Morgan', ' for more information or to arrange a viewing', 'Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.']"
Bayut - JVC-USA-REEFRESD-1BR,For Rent,Apartment,23 August 2023,Furnished,"{'currency': 'AED', 'amount': '75,000'}","Reef Residence, JVC District 13, Jumeirah Village Circle (JVC), Dubai","{'bedrooms': '1 Bed', 'bathrooms': '2 Baths', 'size': '825 sqft'}",Usman Asim,https://images.bayut.com/thumbnails/440164739-800x600.jpeg,"['Dubai Apartments', 'Jumeirah Village Circle (JVC)', 'JVC District 13', 'Reef Residence', 'Bayut - JVC-USA-REEFRESD-1BR']","['Furnished', 'Balcony or Terrace', 'Shared Kitchen', 'Parking Spaces', ': 1', 'Furnished', 'Parking Spaces', ': 1', 'Centrally Air-Conditioned', 'Central Heating', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Gym or Health Club', 'Swimming Pool', 'Kids Play Area', 'Cafeteria or Canteen', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Shared Kitchen', 'Laundry Facility', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']","['Azco Real Estate is pleased to offer this magnificent 1 Bedroom apartment in Reef Residences. The property is spread over 825 sq. ft. and has a modern outstanding finishing. ', 'PROPERTY FEATURES. ', '■ 1 Bedroom', '■ 2 Bathroom', '■ Big Balcony', '■ Fitted Kitchen', '■ Built-in Wardrobes', '■ Parking Spaces', '■ Swimming Pool', '■ Gymnasium', '■ High Speed Elevators', '■ Central A/C', '■ Concierge service', '■ Playing Area', '■ Fire and Fighting Alarm Systems', '■ PRICE DETAILS:', '■ Price: 75,000/-', '■ Security Deposit: 10%', '■ Cheques: 4', 'For further details or to arrange a viewing appointment please contact Mr. Usman Asim', 'visit azcorealestate. ae where you will find an extensive selection of properties available both for sale and for rent. Azco Real Estate also provides Holiday Homes, Property Management and Facility Management services too.']"
Bayut - JVC-WB-FORTNATO-1BR-1,For Rent,Apartment,4 September 2023,,"{'currency': 'AED', 'amount': '65,000'}","Fortunato, JVC District 11, Jumeirah Village Circle (JVC), Dubai","{'bedrooms': '1 Bed', 'bathrooms': '2 Baths', 'size': '907 sqft'}",Abdul Wahab,https://images.bayut.com/thumbnails/452237298-800x600.jpeg,"['Dubai Apartments', 'Jumeirah Village Circle (JVC)', 'JVC District 11', 'Fortunato', 'Bayut - JVC-WB-FORTNATO-1BR-1']","['Balcony or Terrace', 'Shared Kitchen', 'Parking Spaces', ': 1', 'Swimming Pool', 'Parking Spaces', ': 1', 'Centrally Air-Conditioned', 'Central Heating', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Gym or Health Club', 'Swimming Pool', 'Kids Play Area', 'Cafeteria or Canteen', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Shared Kitchen', 'Laundry Facility', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']","['Azco Real Estate is pleased to offer this spacious 1 Bedroom apartment in Fortunato 1, Jumeirah Village Circle. The property is spread over 907 sqft and has a modern outstanding finishing. ', 'PROPERTY FEATURES AND AMENITIES:', '■ 1 Bedroom', '■ 2 Bathroom', '■ Balcony', '■ BBQ area', '■ Built-in wardrobes', '■ Covered parking spaces', '■ Central A/C', '■ Gymnasium', '■ Pets allowed', '■ Shared pool', '■ Children’s playgrounds', '■ 24/7 security', 'PRICE DETAILS:', '■ Rent Price: AED 65,000/-', '■ Cheques: up to 4', '■ Security Deposit: 5000/- AED', '■ For further details or to arrange a viewing appointment please contact Abdul Wahab Phone number on Display', 'visit azcorealestate. ae where you will find an extensive selection of properties available both for sale and for rent. Azco Real Estate also provides Holiday Homes, Property Management and Facility Management services too. ', 'Buyers, Sellers, and Tenants can reach us anytime. Thank you for Choosing Azco Real Estate!']"
Bayut - SUP163719,For Rent,Apartment,22 August 2023,Furnished,"{'currency': 'AED', 'amount': '125,000'}","The Point, Dubai Marina, Dubai","{'bedrooms': '1 Bed', 'bathrooms': '1 Bath', 'size': '799 sqft'}",,https://images.bayut.com/thumbnails/439744404-800x600.jpeg,"['Dubai Apartments', 'Dubai Marina', 'The Point', 'Bayut - SUP163719']",[],"['This One Bedroom Furnished Apartment Located In The Point Tower Is Available For Rent Now. ', '- 1 Bedroom', '- Vacant Now', '- 799 sq. ft. ', '- Balcony', '- Covered Parking', '- Agent: Alexter Smith ', 'The Point Tower is desirably located close-to JBR & Marina Walk with many shops, restaurants & amenities just on the doorstep. ', 'Property Reference: SUP', 'This 1 bedroom furnished apartment is 800 sq. ft. in size, and briefly compromises of a fully equiped kitchen, living area, 1 bedroom with balcony access & en-suite bathroom & 1 guest w/c. ', 'Tenants, interested in taking a managed property by Allsopp & Allsopp, call now to find out more. ', 'Alternatively visit our web www. allsoppandallsopp. com where you will find an extensive selection of properties available both for sale and for rent. ', 'Please call Alexter Smith ', '  for more information or to arrange a viewing. ', 'Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.']"
Bayut - FM-Park- 156,For Rent,Apartment,25 August 2023,Unfurnished,"{'currency': 'AED', 'amount': '145,000'}","Park Gate Residence, Al Kifaf, Bur Dubai, Dubai","{'bedrooms': '2 Beds', 'bathrooms': '3 Baths', 'size': '1,633 sqft'}",Faisal Mehmood,https://images.bayut.com/thumbnails/442394966-800x600.jpeg,"['Dubai Apartments', 'Bur Dubai', 'Al Kifaf', 'Park Gate Residence', 'Bayut - FM-Park- 156']","['Parking Spaces', ': -1', 'Swimming Pool', 'Floor', ': 13', 'View', 'Parking Spaces', ': -1', 'Centrally Air-Conditioned', 'Double Glazed Windows', 'Elevators in Building', ': 5', 'Service Elevators', 'Completion Year', ': 2018', 'Gym or Health Club', 'Swimming Pool', 'Kids Play Area', 'Lawn or Garden', 'Barbeque Area', 'Cafeteria or Canteen', 'Maintenance Staff', 'Security Staff', 'CCTV Security', 'Floor', ': 13', 'View']","[""'Union Square House' is proud to offer this 2 Bedroom Apartment located in Park Gate Residences, Al Kifaf, Dubai. "", 'Park Gate Residences at wasl1 never fail to make a lasting impression, from elegant wood to brushed stainless steel highlights and marble finishings. All apartments to the luxuriously designed podium townhouses and penthouses, welcome you to a refined lifestyle that perfectly blends tasteful interiors and breathtaking views of Zabeel Park. ', 'This rare fusion of art and elegance makes it one of the most desirable destinations to live in. ', 'Property details:', '2 Bedrooms', '3 baths', '1 Allocated Parking', 'Balcony', '1532 square feet', 'Spacious living', 'Open plan kitchen', 'Amenities & Features:', 'Community View', 'Kids Play Area', ""Kids' Playroom"", 'Shared Swimming Pool', 'Shared Gymnasium', 'Near Cafes', 'Near Metro', 'Near Choithrams Grocery', '- Benefits of living in Al Kifaf:', '- Conveniently located', '- Access to public transports', '- Close to Zabeel Park', '- Availability of facilities and amenities', '-  Close to leisure destinations', 'To know more about the property and the community, Call Mr. Faisal Mehmood at View Contact Detail', 'Faisal Mehmood', 'Contact Detail: ', 'Email: ', 'Union Square House Real Estate']"
